(400, 401),2,{('W',), ('S',), ('E',), ('N',)}
(404, 404),1,{('W',), ('S',), ('E',), ('N',)}
(400, 405),3,{('W',), ('S',), ('E',), ('N',)}
(405, 403),1,{('W',), ('S',), ('E',), ('N',)}
(405, 400),3,{('W',), ('S',), ('E',), ('N',)}
(404, 405),1,{('W',), ('S',), ('E',), ('N',)}
(401, 401),3,{('W',), ('E',), ('N',)}
(405, 401),1,{('W',), ('S',), ('E',), ('N',)}
(401, 405),1,{('W',), ('S',), ('E',), ('N',)}
(402, 404),2,{('W',), ('E',), ('N',)}
(405, 403),3,{('W',), ('S',), ('E',), ('N',)}
(404, 405),3,{('W',), ('S',), ('E',), ('N',)}
(20, 20),1,{('W',), ('S',), ('E',), ('N',)}
(400, 400),2,{('W',), ('S',), ('N',)}
(405, 404),1,{('W',), ('S',), ('E',), ('N',)}
(405, 401),3,{('W',), ('S',), ('E',), ('N',)}
(400, 402),2,{('W',), ('S',), ('E',), ('N',)}
(401, 405),3,{('W',), ('S',), ('E',), ('N',)}
(403, 402),2,{('W',), ('S',), ('E',), ('N',)}
(402, 401),1,{('W',), ('S',), ('E',), ('N',)}
(403, 404),2,{('W',), ('S',), ('E',), ('N',)}
(404, 403),3,{('W',), ('S',), ('E',), ('N',)}
(20, 20),3,{('W',), ('S',), ('E',), ('N',)}
(402, 402),1,{('W',), ('S',), ('E',), ('N',)}
(405, 404),3,{('W',), ('S',), ('E',), ('N',)}
(403, 403),1,{('W',), ('S',), ('E',), ('N',)}
(403, 405),2,{('W',), ('S',), ('E',), ('N',)}
(404, 402),2,{('W',), ('S',), ('E',), ('N',)}
(401, 403),3,{('W',), ('S',), ('N',)}
(403, 400),2,set()
(402, 400),3,{('W',), ('S',), ('N',)}
(402, 402),3,{('W',), ('S',), ('E',), ('N',)}
(400, 404),2,set()
(403, 403),3,{('W',), ('S',), ('E',), ('N',)}
(404, 404),3,{('W',), ('S',), ('E',), ('N',)}
(405, 402),1,{('W',), ('S',), ('E',), ('N',)}
(405, 400),2,{('W',), ('S',), ('E',), ('N',)}
(402, 405),2,{('W',), ('S',), ('E',), ('N',)}
(401, 402),2,{('W',), ('S',), ('E',), ('N',)}
(402, 404),1,{('W',), ('E',), ('N',)}
(405, 402),3,{('W',), ('S',), ('E',), ('N',)}
(401, 404),2,{('S',), ('E',), ('N',)}
(404, 405),2,{('W',), ('S',), ('E',), ('N',)}
(403, 401),1,{('W',), ('S',), ('N',)}
(404, 400),2,{('W',), ('S',), ('E',)}
(405, 401),2,{('W',), ('S',), ('E',), ('N',)}
(401, 405),2,{('W',), ('S',), ('E',), ('N',)}
(402, 404),3,{('W',), ('E',), ('N',)}
(403, 402),1,{('W',), ('S',), ('E',), ('N',)}
(402, 403),1,{('E',), ('S',)}
(401, 400),2,{('E',)}
(404, 401),2,{('N',)}
(400, 403),1,{('W',), ('S',), ('E',)}
(403, 404),1,{('W',), ('S',), ('E',), ('N',)}
(403, 401),3,{('W',), ('S',), ('N',)}
(404, 403),2,{('W',), ('S',), ('E',), ('N',)}
(402, 401),3,{('W',), ('S',), ('E',), ('N',)}
(20, 20),2,{('W',), ('S',), ('E',), ('N',)}
(400, 401),1,{('W',), ('S',), ('E',), ('N',)}
(404, 402),1,{('W',), ('S',), ('E',), ('N',)}
(401, 403),2,{('W',), ('S',), ('N',)}
(402, 403),3,{('E',), ('S',)}
(403, 402),3,{('W',), ('S',), ('E',), ('N',)}
(400, 405),2,{('W',), ('S',), ('E',), ('N',)}
(403, 400),1,set()
(400, 403),3,{('W',), ('S',), ('E',)}
(403, 404),3,{('W',), ('S',), ('E',), ('N',)}
(402, 400),2,{('W',), ('S',), ('N',)}
(401, 401),2,{('W',), ('E',), ('N',)}
(402, 402),2,{('W',), ('S',), ('E',), ('N',)}
(400, 404),1,set()
(400, 401),3,{('W',), ('S',), ('E',), ('N',)}
(404, 404),2,{('W',), ('S',), ('E',), ('N',)}
(404, 402),3,{('W',), ('S',), ('E',), ('N',)}
(403, 400),3,set()
(402, 405),1,{('W',), ('S',), ('E',), ('N',)}
(405, 403),2,{('W',), ('S',), ('E',), ('N',)}
(400, 400),1,{('W',), ('S',), ('N',)}
(400, 404),3,set()
(401, 402),1,{('W',), ('S',), ('E',), ('N',)}
(400, 402),1,{('W',), ('S',), ('E',), ('N',)}
(405, 402),2,{('W',), ('S',), ('E',), ('N',)}
(401, 404),1,{('S',), ('E',), ('N',)}
(402, 405),3,{('W',), ('S',), ('E',), ('N',)}
(404, 400),1,{('W',), ('S',), ('E',)}
(400, 400),3,{('W',), ('S',), ('N',)}
(401, 402),3,{('W',), ('S',), ('E',), ('N',)}
(405, 404),2,{('W',), ('S',), ('E',), ('N',)}
(400, 402),3,{('W',), ('S',), ('E',), ('N',)}
(401, 400),1,{('E',)}
(401, 404),3,{('S',), ('E',), ('N',)}
(404, 401),1,{('N',)}
(403, 405),1,{('W',), ('S',), ('E',), ('N',)}
(403, 401),2,{('W',), ('S',), ('N',)}
