(7, 17),N,{(7, 19): 0.2, (7, 18): 0.8}
(7, 17),S,{(7, 15): 0.2, (7, 16): 0.8}
(7, 17),E,{(9, 17): 0.2, (8, 17): 0.8}
(7, 17),W,{(5, 17): 0.2, (6, 17): 0.8}
(18, 17),N,{(18, 19): 0.2, (18, 18): 0.8}
(18, 17),S,{(18, 15): 0.2, (18, 16): 0.8}
(18, 17),E,{(20, 17): 0.2, (19, 17): 0.8}
(18, 17),W,{(16, 17): 0.2, (17, 17): 0.8}
(8, 0),N,{(8, 2): 0.2, (8, 1): 0.8}
(8, 0),E,{(10, 0): 0.2, (9, 0): 0.8}
(8, 0),W,{(6, 0): 0.2, (7, 0): 0.8}
(8, 0),S,{(8, 0): 1}
(19, 0),N,{(19, 2): 0.2, (19, 1): 0.8}
(19, 0),E,{(20, 0): 1.0}
(19, 0),W,{(17, 0): 0.2, (18, 0): 0.8}
(19, 0),S,{(19, 0): 1}
(8, 9),N,{(8, 11): 0.2, (8, 10): 0.8}
(8, 9),S,{(8, 7): 0.2, (8, 8): 0.8}
(8, 9),E,{(10, 9): 0.2, (9, 9): 0.8}
(8, 9),W,{(6, 9): 0.2, (7, 9): 0.8}
(19, 9),N,{(19, 11): 0.2, (19, 10): 0.8}
(19, 9),S,{(19, 7): 0.2, (19, 8): 0.8}
(19, 9),E,{(20, 9): 1.0}
(19, 9),W,{(17, 9): 0.2, (18, 9): 0.8}
(0, 5),N,{(0, 7): 0.2, (0, 6): 0.8}
(0, 5),S,{(0, 3): 0.2, (0, 4): 0.8}
(0, 5),E,{(2, 5): 0.2, (1, 5): 0.8}
(0, 5),W,{(0, 5): 1}
(11, 5),N,{(11, 7): 0.2, (11, 6): 0.8}
(11, 5),S,{(11, 3): 0.2, (11, 4): 0.8}
(11, 5),E,{(13, 5): 0.2, (12, 5): 0.8}
(11, 5),W,{(9, 5): 0.2, (10, 5): 0.8}
(8, 18),N,{(8, 20): 0.2, (8, 19): 0.8}
(8, 18),S,{(8, 16): 0.2, (8, 17): 0.8}
(8, 18),E,{(10, 18): 0.2, (9, 18): 0.8}
(8, 18),W,{(6, 18): 0.2, (7, 18): 0.8}
(19, 18),N,{(19, 20): 0.2, (19, 19): 0.8}
(19, 18),S,{(19, 16): 0.2, (19, 17): 0.8}
(19, 18),E,{(20, 18): 1.0}
(19, 18),W,{(17, 18): 0.2, (18, 18): 0.8}
(0, 14),N,{(0, 16): 0.2, (0, 15): 0.8}
(0, 14),S,{(0, 12): 0.2, (0, 13): 0.8}
(0, 14),E,{(2, 14): 0.2, (1, 14): 0.8}
(0, 14),W,{(0, 14): 1}
(11, 14),N,{(11, 16): 0.2, (11, 15): 0.8}
(11, 14),S,{(11, 12): 0.2, (11, 13): 0.8}
(11, 14),E,{(13, 14): 0.2, (12, 14): 0.8}
(11, 14),W,{(9, 14): 0.2, (10, 14): 0.8}
(4, 2),N,{(4, 4): 0.2, (4, 3): 0.8}
(4, 2),S,{(4, 0): 0.2, (4, 1): 0.8}
(4, 2),E,{(6, 2): 0.2, (5, 2): 0.8}
(4, 2),W,{(2, 2): 0.2, (3, 2): 0.8}
(3, 6),N,{(3, 8): 0.2, (3, 7): 0.8}
(3, 6),S,{(3, 4): 0.2, (3, 5): 0.8}
(3, 6),E,{(5, 6): 0.2, (4, 6): 0.8}
(3, 6),W,{(1, 6): 0.2, (2, 6): 0.8}
(3, 15),N,{(3, 17): 0.2, (3, 16): 0.8}
(3, 15),S,{(3, 13): 0.2, (3, 14): 0.8}
(3, 15),E,{(5, 15): 0.2, (4, 15): 0.8}
