(7, 17),(10001, 10004)
(18, 17),(10004, 10004)
(8, 0),(10002, 10000)
(19, 0),(10004, 10000)
(8, 9),(10002, 10002)
(19, 9),(10004, 10002)
(0, 5),(10000, 10001)
(11, 5),(10002, 10001)
(8, 18),(10002, 10004)
(19, 18),(10004, 10004)
(0, 14),(10000, 10003)
(11, 14),(10002, 10003)
(4, 2),(10001, 10000)
(3, 6),(10000, 10001)
(3, 15),(10000, 10003)
(14, 15),(10003, 10003)
(15, 7),(10003, 10001)
(7, 3),(10001, 10000)
(18, 3),(10004, 10000)
(15, 16),(10003, 10004)
(7, 12),(10001, 10003)
(18, 12),(10004, 10003)
(8, 4),(10002, 10001)
(19, 4),(10004, 10001)
(0, 0),(10000, 10000)
(11, 0),(10002, 10000)
(0, 9),(10000, 10002)
(11, 9),(10002, 10002)
(3, 1),(10000, 10000)
(14, 1),(10003, 10000)
(3, 10),(10000, 10002)
(14, 10),(10003, 10002)
(3, 19),(10000, 10004)
(14, 19),(10003, 10004)
(15, 2),(10003, 10000)
(15, 11),(10003, 10002)
(7, 7),(10001, 10001)
(18, 7),(10004, 10001)
(7, 16),(10001, 10004)
(18, 16),(10004, 10004)
(11, 4),(10002, 10001)
(10, 8),(10002, 10002)
(10, 17),(10002, 10004)
(2, 13),(10000, 10003)
(3, 5),(10000, 10001)
(14, 5),(10003, 10001)
(3, 14),(10000, 10003)
(14, 14),(10003, 10003)
(15, 6),(10003, 10001)
(7, 2),(10001, 10000)
(18, 2),(10004, 10000)
(7, 11),(10001, 10002)
(18, 11),(10004, 10002)
(6, 15),(10001, 10003)
(10, 3),(10002, 10000)
(10, 12),(10002, 10003)
(2, 8),(10000, 10002)
(2, 17),(10000, 10004)
(3, 0),(10000, 10000)
(14, 0),(10003, 10000)
(3, 9),(10000, 10002)
(14, 9),(10003, 10002)
(3, 18),(10000, 10004)
(14, 18),(10003, 10004)
(17, 20),(10004, 10005)
(6, 10),(10001, 10002)
(6, 19),(10001, 10004)
(10, 7),(10002, 10001)
(2, 3),(10000, 10000)
(10, 16),(10002, 10004)
