(26, 21),N,{(26, 23): 0.2, (26, 22): 0.8}
(26, 21),S,{(26, 19): 0.2, (26, 20): 0.8}
(26, 21),E,{(28, 21): 0.2, (27, 21): 0.8}
(26, 21),W,{(24, 21): 0.2, (25, 21): 0.8}
(18, 17),N,{(18, 19): 0.2, (18, 18): 0.8}
(18, 17),S,{(18, 15): 0.2, (18, 16): 0.8}
(18, 17),E,{(20, 17): 0.2, (19, 17): 0.8}
(18, 17),W,{(16, 17): 0.2, (17, 17): 0.8}
(50, 6),N,{(50, 8): 0.2, (50, 7): 0.8}
(50, 6),S,{(50, 4): 0.2, (50, 5): 0.8}
(50, 6),W,{(48, 6): 0.2, (49, 6): 0.8}
(50, 6),E,{(50, 6): 1}
(42, 2),N,{(42, 4): 0.2, (42, 3): 0.8}
(42, 2),S,{(42, 0): 0.2, (42, 1): 0.8}
(42, 2),E,{(44, 2): 0.2, (43, 2): 0.8}
(42, 2),W,{(40, 2): 0.2, (41, 2): 0.8}
(29, 32),N,{(29, 34): 0.2, (29, 33): 0.8}
(29, 32),S,{(29, 30): 0.2, (29, 31): 0.8}
(29, 32),E,{(31, 32): 0.2, (30, 32): 0.8}
(29, 32),W,{(27, 32): 0.2, (28, 32): 0.8}
(8, 9),N,{(8, 11): 0.2, (8, 10): 0.8}
(8, 9),S,{(8, 7): 0.2, (8, 8): 0.8}
(8, 9),E,{(10, 9): 0.2, (9, 9): 0.8}
(8, 9),W,{(6, 9): 0.2, (7, 9): 0.8}
(48, 45),S,{(48, 43): 0.2, (48, 44): 0.8}
(48, 45),E,{(50, 45): 0.2, (49, 45): 0.8}
(48, 45),W,{(46, 45): 0.2, (47, 45): 0.8}
(48, 45),N,{(48, 45): 1}
(0, 5),N,{(0, 7): 0.2, (0, 6): 0.8}
(0, 5),S,{(0, 3): 0.2, (0, 4): 0.8}
(0, 5),E,{(2, 5): 0.2, (1, 5): 0.8}
(0, 5),W,{(0, 5): 1}
(40, 41),N,{(40, 43): 0.2, (40, 42): 0.8}
(40, 41),S,{(40, 39): 0.2, (40, 40): 0.8}
(40, 41),E,{(42, 41): 0.2, (41, 41): 0.8}
(40, 41),W,{(38, 41): 0.2, (39, 41): 0.8}
(19, 18),N,{(19, 20): 0.2, (19, 19): 0.8}
(19, 18),S,{(19, 16): 0.2, (19, 17): 0.8}
(19, 18),E,{(21, 18): 0.2, (20, 18): 0.8}
(19, 18),W,{(17, 18): 0.2, (18, 18): 0.8}
(11, 14),N,{(11, 16): 0.2, (11, 15): 0.8}
(11, 14),S,{(11, 12): 0.2, (11, 13): 0.8}
(11, 14),E,{(13, 14): 0.2, (12, 14): 0.8}
(11, 14),W,{(9, 14): 0.2, (10, 14): 0.8}
(41, 42),N,{(41, 44): 0.2, (41, 43): 0.8}
(41, 42),S,{(41, 40): 0.2, (41, 41): 0.8}
(41, 42),E,{(43, 42): 0.2, (42, 42): 0.8}
(41, 42),W,{(39, 42): 0.2, (40, 42): 0.8}
(33, 38),N,{(33, 40): 0.2, (33, 39): 0.8}
(33, 38),S,{(33, 36): 0.2, (33, 37): 0.8}
(33, 38),E,{(35, 38): 0.2, (34, 38): 0.8}
(33, 38),W,{(31, 38): 0.2, (32, 38): 0.8}
(34, 3),N,{(34, 5): 0.2, (34, 4): 0.8}
(34, 3),S,{(34, 1): 0.2, (34, 2): 0.8}
(34, 3),E,{(36, 3): 0.2, (35, 3): 0.8}
(34, 3),W,{(32, 3): 0.2, (33, 3): 0.8}
(25, 34),N,{(25, 36): 0.2, (25, 35): 0.8}
(25, 34),S,{(25, 32): 0.2, (25, 33): 0.8}
(25, 34),E,{(27, 34): 0.2, (26, 34): 0.8}
(25, 34),W,{(23, 34): 0.2, (24, 34): 0.8}
(45, 12),N,{(45, 14): 0.2, (45, 13): 0.8}
(45, 12),S,{(45, 10): 0.2, (45, 11): 0.8}
(45, 12),E,{(47, 12): 0.2, (46, 12): 0.8}
(45, 12),W,{(43, 12): 0.2, (44, 12): 0.8}
(37, 8),N,{(37, 10): 0.2, (37, 9): 0.8}
(37, 8),S,{(37, 6): 0.2, (37, 7): 0.8}
