,Setting,Episodes,Shield Level,Predict Horizon,Failure Rate,Number of Dynamic Agents,Average Minimum Distance to Agents,Min of Minimum Distance to Agents,Cumulative Undiscounted Reward,Number of Unsafe Action,Average number of Collision with Static Obstalces,Average number of Unsafe Distance to agents,Rate of Reaching Target,Rate of Reach and safe with pedestrains,Rate of Reach and safe with obstacles,Rate of Reach and safe with both,Rate safe with pedestrains given reached,Rate safe with obstacles given reached,Rate safe with both given reached,Action Time spent per action in seconds,Average of average plan time,Max of max plan time
10,shield_0-lookback_4-prediction_3-failure-0.05-agents-5-2024-01-19-23-29,100,0,3,0.05,5,2.22,0.16,912.75,0.0,4.16,0.16,1.0,0.87,0.0,0.0,0.87,0.0,0.0,0.4,0.4,7.26
18,shield_0-lookback_4-prediction_3-failure-0.05-agents-3-2024-01-19-09-11,100,0,3,0.05,3,2.8,0.16,917.56,0.0,3.57,0.07,1.0,0.93,0.03,0.03,0.93,0.03,0.03,0.42,0.42,1.31
25,shield_0-lookback_4-prediction_3-failure-0.05-agents-7-2024-01-20-13-43,100,0,3,0.05,7,1.77,0.09,918.74,0.0,3.45,0.23,1.0,0.79,0.03,0.02,0.79,0.03,0.02,0.39,0.4,1.87
5,shield_1-lookback_4-prediction_8-failure-0.05-agents-7-2024-01-20-17-08,100,1,8,0.05,7,3.05,1.47,218.0,0.0,0.0,0.0,0.36,0.36,0.36,0.36,1.0,1.0,1.0,0.5,0.5,4.62
7,shield_1-lookback_4-prediction_4-failure-0.05-agents-5-2024-01-20-00-00,100,1,4,0.05,5,3.27,1.28,860.02,0.0,0.01,0.0,0.95,0.95,0.94,0.94,1.0,0.99,0.99,0.44,0.44,3.61
14,shield_1-lookback_4-prediction_6-failure-0.05-agents-3-2024-01-19-11-02,100,1,6,0.05,3,3.65,1.57,654.4,0.0,0.0,0.0,0.77,0.77,0.77,0.77,1.0,1.0,1.0,0.47,0.47,2.06
15,shield_1-lookback_4-prediction_4-failure-0.05-agents-3-2024-01-19-09-45,100,1,4,0.05,3,3.49,1.28,834.51,0.0,0.0,0.0,0.93,0.93,0.93,0.93,1.0,1.0,1.0,0.47,0.47,2.97
19,shield_1-lookback_4-prediction_6-failure-0.05-agents-7-2024-01-20-15-33,100,1,6,0.05,7,3.11,1.23,632.23,0.0,0.0,0.0,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.47,0.47,3.2
20,shield_1-lookback_4-prediction_6-failure-0.05-agents-5-2024-01-20-01-08,100,1,6,0.05,5,3.16,1.62,666.83,0.0,0.0,0.0,0.78,0.78,0.78,0.78,1.0,1.0,1.0,0.47,0.47,3.18
23,shield_1-lookback_4-prediction_4-failure-0.05-agents-7-2024-01-20-14-15,100,1,4,0.05,7,3.0,1.02,767.83,0.0,0.0,0.0,0.87,0.87,0.87,0.87,1.0,1.0,1.0,0.45,0.45,2.54
27,shield_1-lookback_4-prediction_8-failure-0.05-agents-3-2024-01-19-12-34,100,1,8,0.05,3,3.45,1.26,273.71,0.0,0.0,0.0,0.41,0.41,0.41,0.41,1.0,1.0,1.0,0.5,0.5,3.35
28,shield_1-lookback_4-prediction_8-failure-0.05-agents-5-2024-01-20-02-38,100,1,8,0.05,5,3.15,0.86,303.14,0.01,0.0,0.0,0.44,0.44,0.44,0.44,1.0,1.0,1.0,0.48,0.49,1.91
6,shield_1-lookback_4-prediction_4-failure-0.1-agents-3-2024-01-19-14-31,100,1,4,0.1,3,3.63,1.95,847.64,0.0,0.0,0.0,0.94,0.94,0.94,0.94,1.0,1.0,1.0,0.45,0.46,3.44
13,shield_1-lookback_4-prediction_6-failure-0.1-agents-5-2024-01-20-05-41,100,1,6,0.1,5,3.11,0.39,690.67,0.0,0.0,0.01,0.8,0.79,0.8,0.79,0.99,1.0,0.99,0.46,0.46,3.29
16,shield_1-lookback_4-prediction_6-failure-0.1-agents-3-2024-01-19-15-43,100,1,6,0.1,3,3.44,0.39,612.28,0.0,0.0,0.01,0.72,0.71,0.72,0.71,0.99,1.0,0.99,0.47,0.48,3.31
17,shield_1-lookback_4-prediction_8-failure-0.1-agents-7-2024-01-20-22-05,100,1,8,0.1,7,2.83,0.46,254.04,0.0,0.0,0.03,0.4,0.38,0.4,0.38,0.95,1.0,0.95,0.49,0.49,3.0
21,shield_1-lookback_4-prediction_6-failure-0.1-agents-7-2024-01-20-20-29,100,1,6,0.1,7,2.96,0.39,632.94,0.0,0.0,0.04,0.75,0.74,0.75,0.74,0.99,1.0,0.99,0.48,0.48,2.71
22,shield_1-lookback_4-prediction_8-failure-0.1-agents-5-2024-01-20-07-07,100,1,8,0.1,5,2.97,0.39,228.57,0.0,0.0,0.01,0.37,0.36,0.37,0.36,0.97,1.0,0.97,0.49,0.49,3.43
24,shield_1-lookback_4-prediction_8-failure-0.1-agents-3-2024-01-19-17-10,100,1,8,0.1,3,3.48,1.17,308.51,0.0,0.0,0.0,0.45,0.45,0.45,0.45,1.0,1.0,1.0,0.49,0.49,3.13
26,shield_1-lookback_4-prediction_4-failure-0.1-agents-5-2024-01-20-04-31,100,1,4,0.1,5,3.07,0.39,807.78,0.0,0.0,0.01,0.9,0.89,0.9,0.89,0.99,1.0,0.99,0.45,0.45,2.97
29,shield_1-lookback_4-prediction_4-failure-0.1-agents-7-2024-01-20-19-07,100,1,4,0.1,7,2.91,0.64,809.71,0.0,0.0,0.0,0.91,0.91,0.91,0.91,1.0,1.0,1.0,0.48,0.48,5.79
0,shield_1-lookback_4-prediction_8-failure-0.2-agents-7-2024-01-21-02-45,100,1,8,0.2,7,2.84,1.24,284.28,0.0,0.0,0.0,0.42,0.42,0.42,0.42,1.0,1.0,1.0,0.48,0.48,3.05
1,shield_1-lookback_4-prediction_6-failure-0.2-agents-3-2024-01-19-20-16,100,1,6,0.2,3,3.14,0.64,714.48,0.0,0.0,0.0,0.82,0.82,0.82,0.82,1.0,1.0,1.0,0.47,0.47,1.28
2,shield_1-lookback_4-prediction_4-failure-0.2-agents-7-2024-01-21-00-05,100,1,4,0.2,7,2.63,0.39,815.03,0.0,0.0,0.02,0.91,0.89,0.91,0.89,0.98,1.0,0.98,0.44,0.44,1.47
